Company Name,Company Ticker,Investibility weighting factor,Total Shares,Market Cap,Market Share Price,Book Value,Sales (Rs Cr),,,,,Average Sales,Net Cash Flow (Rs Cr),,,,,Average NCF,Dividends (Rs Cr),,,,,Average Dividends,Book Value percentage,Sales percentage,Cash flow percentage,Dividend percentage,RAFI Fundamental Value ,Rafi adjustment factor Ci,Investible Rafi fundamental Value,Total issued Share Capital,Company value
,,,,,,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,,,,,,,,,
APOLLO HOSPITALS ENTERPRISES LTD,APOLLOHOSP,0.692,143930235,41437.51465,2879,3136,"6,150","7,256","8,243","9,617","11,247","8,503",39,-52,24,-20,94,17,82.6,83.98,69.03,82.6,81.9,80.022,0.07%,0.001670807,0.000184279,0.000547291,7880.113263,0.190168579,5453.038378,,54530383781
ASIAN PAINTS LTD,ASIANPAINT,0.472,960488585.2,229076.5276,2385,11030,"14,271","15,062","16,825","19,240","20,211","17,122",528,90,-822,434,-351,-24.2,715.45,988.89,835.99,1013.32,1163.15,943.36,0.26%,0.003364527,-0.000262326,0.00645188,30477.07499,0.133043203,14385.1794,,1.44E+11
AU SMALL FINANCE BANK LIMITED,AUBANK,0.71,305029106.7,38860.7082,1274,4325,"1,048","1,280","1,767","2,949","4,286","2,266",-7,596,"1,136",-21,"1,629",666.6,0,0,0,0,0,0,0.10%,0.000445281,0.007225891,0,29016.91472,0.746690322,20602.00945,,2.06E+11
AUROBINDO PHARMA LTD,AUROPHARMA,0.481,583965801,50413.7676,863.3,18342,"13,772","14,910","16,463","19,564","23,099","17,562",340,-424,892,666,871,469,141.75,138.12,145.38,141.9,169.86,147.402,0.44%,0.00345095,0.005083923,0.00100812,34819.23441,0.690669158,16748.05175,,1.67E+11
AVENUE SUPERMARTS LIMITED,DMART,0.25,657147463.2,214952.9352,3271,11320,"8,584","11,898","15,033","20,005","24,870","16,078",-3,-1,34,57,-19,13.6,0,0,0,0,0,0,0.27%,0.003159414,0.000147423,0,20043.03921,0.09324385,5010.759802,,50107598023
AXIS BANK LTD,AXISBANK,0.861,3336440027,245061.52,734.5,86340,"41,409","45,175","46,614","56,044","63,716","50,592","-2,789","17,263","-7,055","24,094","29,795","12,262",1169,1185.9,0,251.95,0,521.37,2.06%,0.009941524,0.132914768,0.003565783,417654.6744,1.704285007,359600.6747,,3.60E+12
BAJAJ AUTO LIMITED,BAJAJ-AUTO,0.463,296639430.8,114350.051,3854.85,23719,"22,574","21,755","25,210","30,358","29,919","25,963",238,-532,488,140,-630,-59.2,1583.79,1590.81,1729.79,1724.8,3492.04,2024.246,0.57%,0.00510191,-0.000641723,0.013844336,59936.52236,0.524149503,27750.60985,,2.78E+11
BAJAJ FINANCE LIMITED,BAJFINANCE,0.437,605852227.7,330431.805,5454,34284,"7,299","9,970","12,746","18,487","26,375","14,975","1,100",-972,13,9,998,230,127.9,201.96,224.64,359.55,579.04,298.618,0.82%,0.002942747,0.002488846,0.002042325,39173.98696,0.118553924,17119.0323,,1.71E+11
BAJAJ FINSERV LIMITED,BAJAJFINSV,0.25,157705292.8,157295.259,9974,1781,"2,140","2,363","2,556","2,809","2,765","2,527",257,373,45,-319,195,110.2,0,0,0,0,0,0,0.04%,0.000496491,0.001194559,0,7056.007957,0.044858364,1764.001989,,17640019893
BAJAJ HOLDINGS & INVESTMENT LIMITED,BAJAJHLDNG,0.5,110681955.2,39889.77664,3604,31658,470,842,420,431,435,519.6,"1,406","-1,406",74,-72,92,19,362.4,370.95,451.35,365.76,448.8,399.852,0.76%,0.000102104,0.000203791,0.00273469,26521.27427,0.664863945,13260.63713,,1.33E+11
BANDHAN BANK LIMITED,BANDHANBNK,0.6,1600641871,55526.2665,346.9,15195,-,"3,909","4,802","6,643","10,885",6559.75,-,"4,192","-1,989",427,"2,550",1295,-,0,121.14,351.36,0,118.125,0.36%,0.001289026,0.014037697,0.000807887,49417.53403,0.889984815,29650.52042,,2.97E+11
BANK OF BARODA,BANKBARODA,0.284,5334264694,43180.8727,80.95,76104,"5,799","44,473","46,056","52,906","78,895","45,626","-14,632","17,116","-56,692",462,"33,120","-4,125",0,0,272.25,0,0,54.45,1.82%,0.008965717,-0.04471684,0.000372397,-42964.67809,-0.994993279,-12201.96858,,-1.22E+11
BERGER PAINTS INDIA LTD,BERGEPAINT,0.25,971095266.3,70938.5092,730.5,2867,"4,223","4,552","5,166","6,062","6,366","5,274",-32,4,38,-27,22,1,115.01,170.64,175.18,182.78,210.56,170.834,0.07%,0.00103633,1.08E-05,0.001168377,7252.278021,0.102233302,1813.069505,,18130695051
