"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Feb-2021","    15270.30","    15340.15","    15243.40","    15314.70","      455959720","        28955.29"
"16-Feb-2021","    15371.45","    15431.75","    15242.20","    15313.45","      648545320","        36550.03"
"17-Feb-2021","    15279.90","    15314.30","    15170.75","    15208.90","      504767226","        34073.12"
"18-Feb-2021","    15238.70","    15250.75","    15078.05","    15118.95","      770629541","        37093.99"
"19-Feb-2021","    15074.80","    15144.05","    14898.20","    14981.75","      712213821","        37419.34"
"22-Feb-2021","    14999.05","    15010.10","    14635.05","    14675.70","      609898454","        37578.07"
"23-Feb-2021","    14782.25","    14854.50","    14651.85","    14707.80","      744092809","        39508.09"
"24-Feb-2021","    14729.15","    15008.80","    14723.05","    14982.00","      403754669","        23723.99"
"25-Feb-2021","    15079.85","    15176.50","    15065.35","    15097.35","      803883875","        42983.07"
"26-Feb-2021","    14888.60","    14919.45","    14467.75","    14529.15","     1103644519","        65012.96"
"01-Mar-2021","    14702.50","    14806.80","    14638.55","    14761.55","      507302977","        30030.57"
"02-Mar-2021","    14865.30","    14959.10","    14760.80","    14919.10","      621723916","        34647.26"
"03-Mar-2021","    15064.40","    15273.15","    14995.80","    15245.60","      544205583","        34567.73"
"04-Mar-2021","    15026.75","    15202.35","    14980.20","    15080.75","      534850447","        36036.02"
"05-Mar-2021","    14977.95","    15092.35","    14862.10","    14938.10","      640700362","        37811.60"
